Timestamp;Track Name;Current QualRatio;Qual AI Best (s);Qual AI Worst (s);Qual User (s);Current RaceRatio;Race AI Best (s);Race AI Worst (s);Race User (s)
2026-03-12 15:18:39;Monza;1.020000;111.523;113.393;0;1.050000;0;0;0
2026-03-12 17:22:26;Monza;1.500000;103.192;105.790;0;1.050000;0;0;0
2026-03-12 17:25:57;Monza;0.500000;147.017;172.683;0;1.050000;0;0;0
2026-03-13 15:29:26;Monza;1.000000;111.174;113.298;118.003;1.050000;0;0;0
2026-03-13 15:51:56;Monza;1.000000;0;0;0;1.050000;108.817;114.356;118.869
2026-03-13 15:56:34;Monza;0.500000;144.319;159.874;0;1.050000;0;0;0
2026-03-13 16:03:00;Monza;0.750000;123.634;131.692;0;1.050000;0;0;0
2026-03-13 16:06:10;Monza;0.800000;122.102;128.427;0;1.050000;0;0;0
2026-03-13 16:10:12;Monza;0.900000;114.783;117.117;0;1.050000;0;0;0
2026-03-13 16:13:35;Monza;1.000000;111.817;113.436;0;1.050000;0;0;0
2026-03-13 16:16:41;Monza;1.100000;109.391;111.200;0;1.050000;0;0;0
2026-03-13 16:19:56;Monza;1.200000;106.835;109.902;0;1.050000;0;0;0
2026-03-13 16:23:03;Monza;1.250000;106.051;108.575;0;1.050000;0;0;0
2026-03-13 16:26:28;Monza;1.500000;102.938;106.599;0;1.050000;0;0;0
2026-03-13 16:42:43;Monza;0.850000;117.661;125.122;117.535;0.850000;0;0;0
2026-03-13 17:06:09;Monza;0.850000;0;0;0;0.850000;117.166;124.540;118.159
2026-03-13 17:21:37;Monza;0.850000;117.109;124.613;0;0.850000;0;0;0
2026-03-13 19:11:19;Barcelona GP Classic 2006, 2016;0.900000;99.661;102.849;100.814;0.900000;0;0;0
2026-03-13 19:31:16;Barcelona GP Classic 2006, 2016;0.900000;0;0;0;0.900000;101.042;105.652;102.922
2026-03-13 19:34:13;Barcelona GP Classic 2006, 2016;0.900000;99.971;103.366;0;0.900000;0;0;0
2026-03-13 20:06:30;Barcelona GP Classic 2006, 2016;0.800000;104.551;107.612;0;0.900000;0;0;0
2026-03-13 20:11:01;Barcelona GP Classic 2006, 2016;0.500000;128.484;134.649;0;0.900000;0;0;0
2026-03-13 20:13:55;Barcelona GP Classic 2006, 2016;0.750000;106.839;111.060;0;0.900000;0;0;0
2026-03-13 20:26:29;Barcelona GP Classic 2006, 2016;1.000000;96.702;99.391;0;0.900000;0;0;0
2026-03-13 20:31:13;Jiading, FIA GT Championship Round 11;0.900000;129.855;135.377;0;0.900000;0;0;0
2026-03-13 21:10:08;Jiading, FIA GT Championship Round 11;0.900000;129.944;134.450;132.355;0.900000;0;0;0
2026-03-13 21:13:25;Jiading, FIA GT Championship Round 11;0.900000;129.836;133.726;0;0.900000;0;0;0
2026-03-13 21:39:31;Jiading, FIA GT Championship Round 11;0.900000;0;0;0;0.850000;130.636;139.922;131.284
2026-03-13 21:59:34;Total Spa 2013 GP v2.5;0.975000;143.360;148.000;148.793;1.000000;0;0;0
2026-03-13 22:04:45;Total Spa 2013 GP v2.5;0.975000;1223.501;147.408;0;1.000000;0;0;0
2026-03-14 13:47:05;Barcelona GP Classic 2006, 2016;1.100000;94.402;96.466;0;0.900000;0;0;0
2026-03-14 14:07:12;Barcelona GP Classic 2006, 2016;1.100000;0;0;0;0.900000;101.066;105.895;102.734
2026-03-14 14:11:11;Barcelona GP Classic 2006, 2016;1.200000;92.714;94.700;0;0.900000;0;0;0
2026-03-14 14:35:11;Barcelona GP Classic 2006, 2016;1.200000;0;0;0;0.900000;100.299;104.907;102.750
2026-03-14 14:37:48;Barcelona GP Classic 2006, 2016;1.250000;92.032;93.720;0;0.900000;0;0;0
2026-03-14 14:41:38;Barcelona GP Classic 2006, 2016;1.500000;88.217;89.921;0;0.900000;0;0;0
2026-03-14 14:58:56;Donington Park GP, 2004 FIA GT Championship Round 6;0.850000;96.902;99.034;95.096;0.900000;0;0;0
2026-03-14 15:02:16;Donington Park GP, 2004 FIA GT Championship Round 6;0.850000;96.830;99.228;0;0.900000;0;0;0
2026-03-14 15:16:19;Donington Park GP, 2004 FIA GT Championship Round 6;0.850000;0;0;0;0.900000;95.604;100.336;96.067
2026-03-21 07:20:48;Monza, 2004 FIA GT Championship Round 1;1.000000;111.764;114.492;0;1.050000;0;0;0
2026-03-21 07:24:00;Monza, 2004 FIA GT Championship Round 1;0.500000;134.125;139.615;0;1.050000;0;0;0
2026-03-21 07:26:51;Monza, 2004 FIA GT Championship Round 1;0.750000;119.393;123.094;0;1.050000;0;0;0
2026-03-21 07:29:30;Monza, 2004 FIA GT Championship Round 1;0.800000;117.446;119.591;0;1.050000;0;0;0
2026-03-21 07:32:14;Monza, 2004 FIA GT Championship Round 1;0.850000;115.734;118.188;0;1.050000;0;0;0
2026-03-21 07:35:05;Monza, 2004 FIA GT Championship Round 1;0.900000;114.575;117.042;0;1.050000;0;0;0
2026-03-21 07:38:03;Monza, 2004 FIA GT Championship Round 1;0.950000;113.295;115.842;0;1.050000;0;0;0
2026-03-21 07:41:53;Monza, 2004 FIA GT Championship Round 1;1.000000;111.741;114.032;0;1.050000;0;0;0
2026-03-21 07:45:33;Monza, 2004 FIA GT Championship Round 1;1.050000;111.065;112.686;0;1.050000;0;0;0
2026-03-21 07:49:06;Monza, 2004 FIA GT Championship Round 1;1.100000;109.341;111.873;0;1.050000;0;0;0
2026-03-21 07:52:26;Monza, 2004 FIA GT Championship Round 1;1.150000;108.018;111.203;0;1.050000;0;0;0
2026-03-21 07:54:58;Monza, 2004 FIA GT Championship Round 1;1.200000;107.524;109.371;0;1.050000;0;0;0
2026-03-21 07:57:28;Monza, 2004 FIA GT Championship Round 1;1.250000;106.518;108.830;0;1.050000;0;0;0
2026-03-21 08:02:20;Monza, 2004 FIA GT Championship Round 1;1.500000;102.312;103.915;0;1.050000;0;0;0
2026-03-21 08:05:57;Monza, 2004 FIA GT Championship Round 1;1.750000;100.028;113.152;0;1.050000;0;0;0
2026-03-21 09:44:28;Monza, 2004 FIA GT Championship Round 1;2.000000;98.863;100.074;0;1.050000;0;0;0
2026-03-21 09:49:30;Monza, 2004 FIA GT Championship Round 1;3.000000;104.650;122.905;0;1.050000;0;0;0
2026-03-21 09:53:08;Monza, 2004 FIA GT Championship Round 1;1.000000;111.772;114.186;0;1.050000;0;0;0
